name,year_month,monthly_reviews,monthly_avg_rating,monthly_negative_reviews,monthly_positive_reviews,monthly_not_recommended,monthly_avg_helpful,monthly_avg_length_words,brand,primaryCategories,monthly_negative_rate,monthly_positive_rate,monthly_not_recommended_rate,year_month_date,prev_month_avg_rating,prev_month_negative_rate,rating_change,negative_rate_change,rolling_3m_avg_rating,rolling_3m_negative_rate
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-06,1,5.0,0,1,0,44.0,102.0,Amazon,Electronics,0.0,1.0,0.0,2017-06-01,,,,,5.0,0.0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-07,5,4.6,0,5,0,0.2,45.4,Amazon,Electronics,0.0,1.0,0.0,2017-07-01,5.0,0.0,-0.40000000000000036,0.0,4.8,0.0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-08,9,4.222222222222222,0,8,1,0.2222222222222222,28.555555555555557,Amazon,Electronics,0.0,0.8888888888888888,0.1111111111111111,2017-08-01,4.6,0.0,-0.3777777777777773,0.0,4.607407407407408,0.0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-09,3,4.666666666666667,0,3,0,0.0,21.666666666666668,Amazon,Electronics,0.0,1.0,0.0,2017-09-01,4.222222222222222,0.0,0.44444444444444464,0.0,4.496296296296296,0.0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-10,1,5.0,0,1,0,0.0,25.0,Amazon,Electronics,0.0,1.0,0.0,2017-10-01,4.666666666666667,0.0,0.33333333333333304,0.0,4.62962962962963,0.0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-12,41,4.634146341463414,2,39,2,0.0,22.097560975609756,Amazon,Electronics,0.04878048780487805,0.9512195121951219,0.04878048780487805,2017-12-01,5.0,0.0,-0.3658536585365857,0.04878048780487805,4.766937669376694,0.016260162601626018
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-01,11,4.545454545454546,0,11,0,0.0,22.636363636363637,Amazon,Electronics,0.0,1.0,0.0,2018-01-01,4.634146341463414,0.04878048780487805,-0.08869179600886845,-0.04878048780487805,4.726533628972653,0.016260162601626018
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-02,5,4.8,0,5,0,0.0,26.6,Amazon,Electronics,0.0,1.0,0.0,2018-02-01,4.545454545454546,0.0,0.25454545454545396,0.0,4.659866962305987,0.016260162601626018
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-03,4,4.25,0,3,0,0.0,31.5,Amazon,Electronics,0.0,0.75,0.0,2018-03-01,4.8,0.0,-0.5499999999999998,0.0,4.531818181818182,0.0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-04,2,5.0,0,2,0,0.0,15.0,Amazon,Electronics,0.0,1.0,0.0,2018-04-01,4.25,0.0,0.75,0.0,4.683333333333334,0.0
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-06,5,3.6,2,3,2,6.0,87.4,Amazon,Electronics,0.4,0.6,0.4,2017-06-01,,,,,3.6,0.4
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-07,15,4.8,0,15,0,3.466666666666667,48.333333333333336,Amazon,Electronics,0.0,1.0,0.0,2017-07-01,3.6,0.4,1.1999999999999997,-0.4,4.2,0.2
