name,year_month,monthly_reviews,monthly_negative_reviews,monthly_positive_reviews,monthly_not_recommended,monthly_avg_helpful,monthly_avg_length_words,brand_x,primaryCategories_x,monthly_negative_rate,monthly_positive_rate,monthly_not_recommended_rate,year_month_date,prev_month_avg_rating,prev_month_negative_rate,rolling_3m_avg_rating,total_reviews,avg_rating,min_rating,max_rating,negative_reviews,neutral_reviews,positive_reviews,not_recommended_count,avg_helpful_votes,total_helpful_votes,avg_review_length_words,first_review_date,last_review_date,brand_y,primaryCategories_y,negative_review_rate,positive_review_rate,not_recommended_rate,review_period_days,review_frequency,sales_drop_risk
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-06,1,0,1,0,44.0,102.0,Amazon,Electronics,0.0,1.0,0.0,2017-06-01,,,5.0,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-07,5,0,5,0,0.2,45.4,Amazon,Electronics,0.0,1.0,0.0,2017-07-01,5.0,0.0,4.8,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-08,9,0,8,1,0.2222222222222222,28.555555555555557,Amazon,Electronics,0.0,0.8888888888888888,0.1111111111111111,2017-08-01,4.6,0.0,4.607407407407408,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-09,3,0,3,0,0.0,21.666666666666668,Amazon,Electronics,0.0,1.0,0.0,2017-09-01,4.222222222222222,0.0,4.496296296296296,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-10,1,0,1,0,0.0,25.0,Amazon,Electronics,0.0,1.0,0.0,2017-10-01,4.666666666666667,0.0,4.62962962962963,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2017-12,41,2,39,2,0.0,22.097560975609756,Amazon,Electronics,0.04878048780487805,0.9512195121951219,0.04878048780487805,2017-12-01,5.0,0.0,4.766937669376694,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-01,11,0,11,0,0.0,22.636363636363637,Amazon,Electronics,0.0,1.0,0.0,2018-01-01,4.634146341463414,0.04878048780487805,4.726533628972653,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-02,5,0,5,0,0.0,26.6,Amazon,Electronics,0.0,1.0,0.0,2018-02-01,4.545454545454546,0.0,4.659866962305987,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-03,4,0,3,0,0.0,31.5,Amazon,Electronics,0.0,0.75,0.0,2018-03-01,4.8,0.0,4.531818181818182,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,0
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",2018-04,2,0,2,0,0.0,15.0,Amazon,Electronics,0.0,1.0,0.0,2018-04-01,4.25,0.0,4.683333333333334,82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662,1
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-06,5,2,3,2,6.0,87.4,Amazon,Electronics,0.4,0.6,0.4,2017-06-01,,,3.6,233,4.630901287553648,1,5,9,10,214,12,0.45493562231759654,106.0,41.0,2017-06-15 00:00:00+00:00,2018-09-10 00:32:46+00:00,Amazon,Electronics,0.03862660944206009,0.9184549356223176,0.05150214592274678,452.0,0.5154867256637168,0
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-07,15,0,15,0,3.466666666666667,48.333333333333336,Amazon,Electronics,0.0,1.0,0.0,2017-07-01,3.6,0.4,4.2,233,4.630901287553648,1,5,9,10,214,12,0.45493562231759654,106.0,41.0,2017-06-15 00:00:00+00:00,2018-09-10 00:32:46+00:00,Amazon,Electronics,0.03862660944206009,0.9184549356223176,0.05150214592274678,452.0,0.5154867256637168,1
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-08,14,1,13,1,0.0,46.5,Amazon,Electronics,0.07142857142857142,0.9285714285714286,0.07142857142857142,2017-08-01,4.8,0.0,4.276190476190476,233,4.630901287553648,1,5,9,10,214,12,0.45493562231759654,106.0,41.0,2017-06-15 00:00:00+00:00,2018-09-10 00:32:46+00:00,Amazon,Electronics,0.03862660944206009,0.9184549356223176,0.05150214592274678,452.0,0.5154867256637168,1
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-09,20,1,17,1,0.0,37.0,Amazon,Electronics,0.05,0.85,0.05,2017-09-01,4.428571428571429,0.07142857142857142,4.5928571428571425,233,4.630901287553648,1,5,9,10,214,12,0.45493562231759654,106.0,41.0,2017-06-15 00:00:00+00:00,2018-09-10 00:32:46+00:00,Amazon,Electronics,0.03862660944206009,0.9184549356223176,0.05150214592274678,452.0,0.5154867256637168,1
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-10,15,0,14,0,0.9333333333333333,36.0,Amazon,Electronics,0.0,0.9333333333333333,0.0,2017-10-01,4.55,0.05,4.57063492063492,233,4.630901287553648,1,5,9,10,214,12,0.45493562231759654,106.0,41.0,2017-06-15 00:00:00+00:00,2018-09-10 00:32:46+00:00,Amazon,Electronics,0.03862660944206009,0.9184549356223176,0.05150214592274678,452.0,0.5154867256637168,0
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",2017-11,21,1,20,1,0.09523809523809523,39.857142857142854,Amazon,Electronics,0.047619047619047616,0.9523809523809523,0.047619047619047616,2017-11-01,4.733333333333333,0.0,4.634126984126984,233,4.630901287553648,1,5,9,10,214,12,0.45493562231759654,106.0,41.0,2017-06-15 00:00:00+00:00,2018-09-10 00:32:46+00:00,Amazon,Electronics,0.03862660944206009,0.9184549356223176,0.05150214592274678,452.0,0.5154867256637168,0
